,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_djf,tas_djf_unit,tas_mam,tas_mam_unit,tas_jja,tas_jja_unit,tas_son,tas_son_unit,tmax_mam,tmax_mam_un,tmax_jja,tmax_jja_un,tmax_son,tmax_son_un,tmax_djf,tmax_djf_un,tmin_mam,tmin_mam_un,tmin_jja,tmin_jja_un,tmin_son,tmin_son_un,tmin_djf,tmin_djf_un,,pr_djf,pr_djf_unit,pr_mam,pr_mam_unit,pr_jja,pr_jja_unit,pr_son,pr_son_unit
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.01,2050s,NA,NA,4304.01,,Values recorded for all locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.02,2080s,NA,NA,4304.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.03,2050s,NA,NA,4304.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.04,2080s,NA,NA,4304.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.01,2050s,NA,NA,4305.01,,Values recorded for all locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.02,2080s,NA,NA,4305.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.03,2050s,NA,NA,4305.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.04,2080s,NA,NA,4305.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.01,2050s,NA,NA,4306.01,,Values recorded for all locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.02,2080s,NA,NA,4306.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.03,2050s,NA,NA,4306.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.04,2080s,NA,NA,4306.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.01,2050s,NA,NA,4307.01,,Values recorded for all locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.02,2080s,NA,NA,4307.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.03,2050s,NA,NA,4307.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.04,2080s,NA,NA,4307.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.01,2011,2040,NA,4901.01,,,0.9,deltaC,,,,,,,,,,,,,,,,,,,,,,,,-0.6,%,7.6,%,-3.9,%,5.6,%
"Farjad et al., 2017",49,Nelson River,4901,4901,49.02,2041,2070,NA,4901.02,,,2.8,deltaC,,,,,,,,,,,,,,,,,,,,,,,,6,%,14.2,%,14.5,%,4.4,%
"Farjad et al., 2017",49,Nelson River,4901,4901,49.03,2011,2040,NA,4901.03,,,2.2,deltaC,,,,,,,,,,,,,,,,,,,,,,,,1.9,%,-0.2,%,-2.5,%,1.5,%
"Farjad et al., 2017",49,Nelson River,4901,4901,49.04,2041,2070,NA,4901.04,,,3.2,deltaC,,,,,,,,,,,,,,,,,,,,,,,,0.4,%,2.7,%,-8.9,%,0.9,%
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.01,1971,2000,2701,2701.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.02,2071,2100,NA,2701.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.03,2071,2100,NA,2701.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.04,2071,2100,NA,2701.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,%,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.01,2070,2099,NA,3801.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.02,2070,2099,NA,3801.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.03,2070,2099,NA,3801.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.04,2070,2099,NA,3801.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.01,2010,2039,NA,19701.01,,,,,,,1.51,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.01,2010,2039,NA,19702.01,,,,,,,1.58,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.01,2010,2039,NA,19703.01,,,,,,,1.69,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.01,2010,2039,NA,19704.01,,,,,,,1.65,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.01,2010,2039,NA,19705.01,,,,,,,1.56,deltaC,,,,,,,,,,,,,,,,,,,,,,,,-1,%,,
"Wu et al., 2012",197,Pacific,19701,19701,197.02,2030,2059,NA,19701.02,,,,,,,2.76,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
