,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual_IMS_min,tas_annual_IMS_min_un,tas_annual_IMS_max,tas_annual_IMS_max_un,tmax_ann_IMS_min,tmax_ann_IMS_min_un,tmax_ann_IMS_max,tmax_ann_max_IMS_un,tmin_ann_IMS_min,tmin_ann_IMS_min_un,tmin_ann_IMS_max,tmin_ann_IMS_max_un,pr_annual_IMS_min,pr_annual_IMS_min_un,pr_annual_IMS_max,pr_annual_IMS_max_un
"Choi et al., 2014",24,Nelson River,2401,2401,24.04,2046,2065,NA,2401.04,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.05,2046,2065,NA,2401.05,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.06,2046,2065,NA,2401.06,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.07,2046,2065,NA,2401.07,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.08,2046,2065,NA,2401.08,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.09,2046,2065,NA,2401.09,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.01,2046,2065,NA,2402.01,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.02,2046,2065,NA,2402.02,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.03,2046,2065,NA,2402.03,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.04,2046,2065,NA,2402.04,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.05,2046,2065,NA,2402.05,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.06,2046,2065,NA,2402.06,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.07,2046,2065,NA,2402.07,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.08,2046,2065,NA,2402.08,,,,,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2402,2402,24.09,2046,2065,NA,2402.09,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2501,2501,25.02,2081,2100,NA,2501.02,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2501,2501,25.03,2081,2100,NA,2501.03,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2501,2501,25.04,2081,2100,NA,2501.04,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2501,2501,25.05,2081,2100,NA,2501.05,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2501,2501,25.06,2081,2100,NA,2501.06,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2502,2502,25.02,2081,2100,NA,2502.02,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2502,2502,25.03,2081,2100,NA,2502.03,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2502,2502,25.04,2081,2100,NA,2502.04,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2502,2502,25.05,2081,2100,NA,2502.05,,,,,,,,,,,,,,,,,,
"Choi et al., 2008",25,Nelson River,2502,2502,25.06,2081,2100,NA,2502.06,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1801,1801,18.01,2041,2070,NA,1801.01,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1802,1802,18.01,2041,2070,NA,1802.01,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1803,1803,18.01,2041,2070,NA,1803.01,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1804,1804,18.01,2041,2070,NA,1804.01,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1805,1805,18.01,2041,2070,NA,1805.01,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1801,1801,18.02,2041,2070,NA,1801.02,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1802,1802,18.02,2041,2070,NA,1802.02,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1803,1803,18.02,2041,2070,NA,1803.02,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1804,1804,18.02,2041,2070,NA,1804.02,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1805,1805,18.02,2041,2070,NA,1805.02,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1801,1801,18.03,2041,2070,NA,1801.03,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1802,1802,18.03,2041,2070,NA,1802.03,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1803,1803,18.03,2041,2070,NA,1803.03,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1804,1804,18.03,2041,2070,NA,1804.03,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1805,1805,18.03,2041,2070,NA,1805.03,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1801,1801,18.04,2041,2070,NA,1801.04,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1802,1802,18.04,2041,2070,NA,1802.04,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1803,1803,18.04,2041,2070,NA,1803.04,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1804,1804,18.04,2041,2070,NA,1804.04,,,,,,,,,,,,,,,,,,
"Chen, 2015",18,St. Lawrence,1805,1805,18.04,2041,2070,NA,1805.04,,,,,,,,,,,,,,,,,,
"Chen et al., 2011",21,St. Lawrence,2101,2101,21.04,2070,2099,NA,2101.04,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.02,2020s,NA,NA,4703.02,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.04,2020s,NA,NA,4703.04,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.05,2020s,NA,NA,4703.05,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.07,2050s,NA,NA,4703.07,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.1,2050s,NA,NA,4703.1,,,,,,,,,,,,,,,,,,
"Farjad et al., 2016",47,Nelson River,4703,4703,47.11,2050s,NA,NA,4703.11,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.1,1961,1990,4803,4803.1,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.2,2011,2040,NA,4803.2,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.3,2041,2070,NA,4803.3,,,,,,,,,,,,,,,,,,
"France & Aitchison, 2019",53,Maritime Provinces,5301,5301,53.01,2011,2040,5301,5301.01,,,,,,,,,,,,,,,,,,
"France & Aitchison, 2019",53,Maritime Provinces,5301,5301,53.02,2041,2070,NA,5301.02,,,,,,,,,,,,,,,,,,
"France & Aitchison, 2019",53,Maritime Provinces,5301,5301,53.03,2071,2099,NA,5301.03,,,,,,,,,,,,,,,,,,
"Golmohammadi et al., 2017",56,St. Lawrence,5601,5601,56.01,1985,2014,5601,5601.01,,,,,,,,,,,,,,,,,,
"Golmohammadi et al., 2017",56,St. Lawrence,5601,5601,56.02,2015,2044,NA,5601.02,,,,,,,,,,,,,,,,,,
"MacDonald et al., 2011",220,Nelson River,22001,22001,220.01,2071,2100,NA,22001.01,,,,,,,,,,,,,,,,,,
"MacDonald et al., 2011",220,Nelson River,22001,22001,220.02,2071,2100,NA,22001.02,,,,,,,,,,,,,,,,,,
"MacDonald et al., 2011",220,Nelson River,22001,22001,220.03,2071,2100,NA,22001.03,,,,,,,,,,,,,,,,,,
"MacDonald et al., 2011",220,Nelson River,22001,22001,220.04,2071,2100,NA,22001.04,,,,,,,,,,,,,,,,,,
"MacDonald et al., 2011",220,Nelson River,22001,22001,220.05,2071,2100,NA,22001.05,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220199,222,1986,2004,2220199,22201,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220198,222.2,1986,2004,2220198,22201.2,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220199,222.01,2045,2055,NA,22201.01,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220198,222.02,2045,2055,NA,22201.02,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220199,222.03,2085,2095,NA,22201.03,,,,,,,,,,,,,,,,,,
"Moore et al., 2007",222,Pacific,22201,2220198,222.04,2085,2095,NA,22201.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.01,2010,2039,NA,21501.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.02,2010,2039,NA,21501.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.03,2010,2039,NA,21501.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.04,2010,2039,NA,21501.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.05,2010,2039,NA,21501.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.06,2040,2069,NA,21501.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.07,2040,2069,NA,21501.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.08,2040,2069,NA,21501.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.09,2040,2069,NA,21501.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21501,21501,215.1,2040,2069,NA,21501.1,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.01,2010,2039,NA,21502.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.02,2010,2039,NA,21502.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.03,2010,2039,NA,21502.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.04,2010,2039,NA,21502.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.05,2010,2039,NA,21502.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.06,2040,2069,NA,21502.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.07,2040,2069,NA,21502.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.08,2040,2069,NA,21502.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.09,2040,2069,NA,21502.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21502,21502,215.1,2040,2069,NA,21502.1,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.01,2010,2039,NA,21503.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.02,2010,2039,NA,21503.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.03,2010,2039,NA,21503.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.04,2010,2039,NA,21503.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.05,2010,2039,NA,21503.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.06,2040,2069,NA,21503.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.07,2040,2069,NA,21503.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.08,2040,2069,NA,21503.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.09,2040,2069,NA,21503.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21503,21503,215.1,2040,2069,NA,21503.1,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.01,2010,2039,NA,21504.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.02,2010,2039,NA,21504.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.03,2010,2039,NA,21504.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.04,2010,2039,NA,21504.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.05,2010,2039,NA,21504.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.06,2040,2069,NA,21504.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.07,2040,2069,NA,21504.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.08,2040,2069,NA,21504.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.09,2040,2069,NA,21504.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21504,21504,215.1,2040,2069,NA,21504.1,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.01,2010,2039,NA,21505.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.02,2010,2039,NA,21505.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.03,2010,2039,NA,21505.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.04,2010,2039,NA,21505.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.05,2010,2039,NA,21505.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.06,2040,2069,NA,21505.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.07,2040,2069,NA,21505.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.08,2040,2069,NA,21505.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.09,2040,2069,NA,21505.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Western and North Hudson Bay,21505,21505,215.1,2040,2069,NA,21505.1,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.01,2010,2039,NA,21506.01,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.02,2010,2039,NA,21506.02,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.03,2010,2039,NA,21506.03,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.04,2010,2039,NA,21506.04,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.05,2010,2039,NA,21506.05,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.06,2040,2069,NA,21506.06,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.07,2040,2069,NA,21506.07,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.08,2040,2069,NA,21506.08,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.09,2040,2069,NA,21506.09,,,,,,,,,,,,,,,,,,
"Golder Associates, 2009",215,Great Slave Lake,21506,21506,215.1,2040,2069,NA,21506.1,,,,,,,,,,,,,,,,,,
"Booty et al., 2005",14,St. Lawrence,1401,1401,14.01,2080s,NA,NA,1401.01,,,,,,,,,,,,,,,,,,
"Booty et al., 2005",14,St. Lawrence,1401,1401,14.02,2080s,NA,NA,1401.02,,,,,,,,,,,,,,,,,,
"Booty et al., 2005",14,St. Lawrence,1401,1401,14.03,2080s,NA,NA,1401.03,,,,,,,,,,,,,,,,,,
"Booty et al., 2005",14,St. Lawrence,1401,1401,14.04,2080s,NA,NA,1401.04,,,,,,,,,,,,,,,,,,
"Cohen, 1991",28,Nelson River,2801,2801,28.02,Not clear   ,NA,NA,2801.02,,,,,,,,,,,,,,,,,,
"Cohen, 1991",28,Nelson River,2801,2801,28.03,Not clear   ,NA,NA,2801.03,,,,,,,,,,,,,,,,,,
"Cohen, 1991",28,Nelson River,2801,2801,28.04,Not clear   ,NA,NA,2801.04,,,,,,,,,,,,,,,,,,
"Cohen, 1991",28,Nelson River,2801,2801,28.05,Not clear   ,NA,NA,2801.05,,,,,,,,,,,,,,,,,,
"Cohen, 1991",28,Nelson River,2801,2801,28.06,Not clear   ,NA,NA,2801.06,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3001,3001,30.01,Not defined,NA,NA,3001.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3002,3002,30.01,Not defined,NA,NA,3002.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3003,3003,30.01,Not defined,NA,NA,3003.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3004,3004,30.01,Not defined,NA,NA,3004.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3005,3005,30.01,Not defined,NA,NA,3005.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3006,3006,30.01,Not defined,NA,NA,3006.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3007,3007,30.01,Not defined,NA,NA,3007.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3008,3008,30.01,Not defined,NA,NA,3008.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3009,3009,30.01,Not defined,NA,NA,3009.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3010,3010,30.01,Not defined,NA,NA,3010.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3011,3011,30.01,Not defined,NA,NA,3011.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3012,3012,30.01,Not defined,NA,NA,3012.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3013,3013,30.01,Not defined,NA,NA,3013.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3014,3014,30.01,Not defined,NA,NA,3014.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3015,3015,30.01,Not defined,NA,NA,3015.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3016,3016,30.01,Not defined,NA,NA,3016.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3017,3017,30.01,Not defined,NA,NA,3017.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3018,3018,30.01,Not defined,NA,NA,3018.01,,,,,,,,,,,,,,,,,,
"Coulson, 1997",30,Pacific,3019,3019,30.01,Not defined,NA,NA,3019.01,,,,,,,,,,,,,,,,,,
"Gombault, 2012",57,St. Lawrence,5701,5701,57.01,2041,2070,NA,5701.01,,,,,,,,,,,,,,,,,,
"Gombault, 2012",57,St. Lawrence,5701,5701,57.02,2041,2070,NA,5701.02,,,,,,,,,,,,,,,,,,
"Gombault, 2012",57,St. Lawrence,5701,5701,57.03,2041,2070,NA,5701.03,,,,,,,,,,,,,,,,,,
"Gombault, 2012",57,St. Lawrence,5701,5701,57.04,2041,2070,NA,5701.04,,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.01,2040,2069,NA,6001.01,Hamilton RBG,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.02,2040,2069,NA,6001.02,Hamilton RBG,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.03,2040,2069,NA,6001.03,Hamilton RBG,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.04,2040,2069,NA,6001.04,Hamilton RBG,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.05,2040,2069,NA,6001.05,Hamilton RBG,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.01,2040,2069,NA,6001.01,Hamilton Airport,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.02,2040,2069,NA,6001.02,Hamilton Airport,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.03,2040,2069,NA,6001.03,Hamilton Airport,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.04,2040,2069,NA,6001.04,Hamilton Airport,,,,,,,,,,,,,,,,,
"Grillakis et al., 2011",60,St. Lawrence,6001,6001,60.05,2040,2069,NA,6001.05,Hamilton Airport,,,,,,,,,,,,,,,,,
"Guay et al., 2015",61,,6101,6101,61.01,"2041-70
2046-65",NA,NA,6101.01,,,,,,,,,,,,,,,10,%,15,%
"Ahmed, 2016",1,St. Lawrence,101,101,1.01,2041,2070,NA,101.01,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.02,2041,2070,NA,101.02,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.03,2041,2070,NA,101.03,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.04,2041,2070,NA,101.04,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.05,2041,2070,NA,101.05,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.06,2041,2070,NA,101.06,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.07,2041,2070,NA,101.07,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.08,2041,2070,NA,101.08,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.09,2041,2070,NA,101.09,Hamilton Airport,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.01,2041,2070,NA,101.01,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.02,2041,2070,NA,101.02,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.03,2041,2070,NA,101.03,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.04,2041,2070,NA,101.04,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.05,2041,2070,NA,101.05,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.06,2041,2070,NA,101.06,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.07,2041,2070,NA,101.07,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.08,2041,2070,NA,101.08,Hamilton RBG,,,,,,,,,,,,,,,,,
"Ahmed, 2016",1,St. Lawrence,101,101,1.09,2041,2070,NA,101.09,Hamilton RBG,,,,,,,,,,,,,,,,,
"Anderson, 2014",6,Nelson River,601,601,6.01,2041,2070,NA,601.01,,,,,,,,,,,,,,,,,,
"Appiah-Adjei, 2006",7,Pacific,701,701,7.02,2010,2039,NA,701.02,,,,,,,,,,,,,,,,,,
"Appiah-Adjei, 2006",7,Pacific,701,701,7.03,2040,2069,NA,701.03,,,,,,,,,,,,,,,,,,
"Appiah-Adjei, 2006",7,Pacific,701,701,7.04,2070,2099,NA,701.04,,,,,,,,,,,,,,,,,,
"Vigneault et al., 2007",10,Maritime Provinces,1001,1001,10.01,2040,2069,NA,1001.01,,,,,,,,,,,,,,,,,,
"Vigneault et al., 2007",10,Maritime Provinces,1001,1001,10.02,2040,2069,NA,1001.02,,,,,,,,,,,,,,,,,,
"Vigneault et al., 2007",10,Maritime Provinces,1001,1001,10.03,2040,2069,NA,1001.03,,,,,,,,,,,,,,,,,,
"Vigneault et al., 2007",10,Maritime Provinces,1001,1001,10.04,2040,2069,NA,1001.04,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.01,1961,1990,8001,8001.01,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.02,2010,2039,NA,8001.02,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.03,2010,2039,NA,8001.03,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.04,2010,2039,NA,8001.04,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.05,2010,2039,NA,8001.05,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.06,2010,2039,NA,8001.06,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.08,2040,2069,NA,8001.08,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.09,2040,2069,NA,8001.09,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.1,2040,2069,NA,8001.1,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.11,2040,2069,NA,8001.11,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.12,2040,2069,NA,8001.12,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.13,2070,2099,NA,8001.13,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.14,2070,2099,NA,8001.14,,,,,,,,,,,,,,,,,,
"Kienzle et al., 2010",80,Nelson River,8001,8001,80.15,2070,2099,NA,8001.15,,,,,,,,,,,,,,,,,,
