,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual,tas_annual_unit,tas_IMS_median,tas_IMS_median_un,tmax_annual,tmax_annual_un,tmin_annual,tmin_annual_un,pr_annual,pr_annual_unit,pr_IMS_median,pr_IMS_median_un
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.02,2021,2060,NA,15902.02,,,2.4,deltaC,,,,,,,9,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.03,2021,2060,NA,15902.03,,,1.2,deltaC,,,,,,,3,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.04,2061,2100,NA,15902.04,,,3,deltaC,,,,,,,1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.05,2061,2100,NA,15902.05,,,3.5,deltaC,,,,,,,17,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.06,2061,2100,NA,15902.06,,,2.4,deltaC,,,,,,,7,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.07,2021,2060,NA,15902.07,,,2.3,deltaC,,,,,,,2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.08,2021,2060,NA,15902.08,,,2.8,deltaC,,,,,,,10,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.09,2021,2060,NA,15902.09,,,1.7,deltaC,,,,,,,5,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.1,2061,2100,NA,15902.1,,,5.3,deltaC,,,,,,,1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.11,2061,2100,NA,15902.11,,,6,deltaC,,,,,,,20,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.12,2061,2100,NA,15902.12,,,3.9,deltaC,,,,,,,19,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.01,2021,2060,NA,15903.01,,,1.6,deltaC,,,,,,,-1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.02,2021,2060,NA,15903.02,,,2.5,deltaC,,,,,,,11,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.03,2021,2060,NA,15903.03,,,1.1,deltaC,,,,,,,2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.04,2061,2100,NA,15903.04,,,3.1,deltaC,,,,,,,5,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.05,2061,2100,NA,15903.05,,,3.6,deltaC,,,,,,,17,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.06,2061,2100,NA,15903.06,,,2.5,deltaC,,,,,,,4,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.07,2021,2060,NA,15903.07,,,2.5,deltaC,,,,,,,6,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.08,2021,2060,NA,15903.08,,,2.8,deltaC,,,,,,,11,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.09,2021,2060,NA,15903.09,,,1.8,deltaC,,,,,,,1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.1,2061,2100,NA,15903.1,,,5.5,deltaC,,,,,,,4,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.11,2061,2100,NA,15903.11,,,5.9,deltaC,,,,,,,22,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.12,2061,2100,NA,15903.12,,,4.1,deltaC,,,,,,,14,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.01,2021,2060,NA,15904.01,,,1,deltaC,,,,,,,-4,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.02,2021,2060,NA,15904.02,,,1.8,deltaC,,,,,,,8,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.03,2021,2060,NA,15904.03,,,0.4,deltaC,,,,,,,-2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.04,2061,2100,NA,15904.04,,,2.4,deltaC,,,,,,,0,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.05,2061,2100,NA,15904.05,,,2.9,deltaC,,,,,,,15,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.06,2061,2100,NA,15904.06,,,1.8,deltaC,,,,,,,1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.07,2021,2060,NA,15904.07,,,1.8,deltaC,,,,,,,2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.08,2021,2060,NA,15904.08,,,2.1,deltaC,,,,,,,8,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.09,2021,2060,NA,15904.09,,,1.1,deltaC,,,,,,,-3,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.1,2061,2100,NA,15904.1,,,4.9,deltaC,,,,,,,-2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.11,2061,2100,NA,15904.11,,,5.2,deltaC,,,,,,,21,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.12,2061,2100,NA,15904.12,,,3.3,deltaC,,,,,,,8,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.01,2021,2060,NA,15905.01,,,-0.2,deltaC,,,,,,,-1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.02,2021,2060,NA,15905.02,,,0.4,deltaC,,,,,,,6,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.03,2021,2060,NA,15905.03,,,-0.9,deltaC,,,,,,,2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.04,2061,2100,NA,15905.04,,,1.3,deltaC,,,,,,,2,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.05,2061,2100,NA,15905.05,,,1.5,deltaC,,,,,,,15,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.06,2061,2100,NA,15905.06,,,0.5,deltaC,,,,,,,4,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.07,2021,2060,NA,15905.07,,,0.6,deltaC,,,,,,,3,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.08,2021,2060,NA,15905.08,,,0.7,deltaC,,,,,,,11,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.09,2021,2060,NA,15905.09,,,-0.2,deltaC,,,,,,,1,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.1,2061,2100,NA,15905.1,,,3.8,deltaC,,,,,,,4,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.11,2061,2100,NA,15905.11,,,4,deltaC,,,,,,,18,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15905,15905,159.12,2061,2100,NA,15905.12,,,2.2,deltaC,,,,,,,7,%,,
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.01,2010,2039,NA,6922.01,,,1.3,deltaC,,,,,,,,,,
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.02,2040,2069,NA,6922.02,,,3.1,deltaC,,,,,,,,,,
"Islam & Gan, 2014",69,Nelson River,6922,6922,69.03,2070,2099,NA,6922.03,,,5,deltaC,,,,,,,,,,
Fang & Pomeroy,45,Nelson River,13502,13502,45.02,2091,2099,NA,13502.02,,,4.7,deltaC,,,,,,,16,%,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114,1988,2017,11401,11401,,,1.68,C,,,,,,,513,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.01,2011,2040,NA,11401.01,,,3.43,C,,,,,,,530.97,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.02,2011,2040,NA,11401.02,,,4.01,C,,,,,,,568.75,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.03,2011,2040,NA,11401.03,,,3.29,C,,,,,,,505.73,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.04,2011,2040,NA,11401.04,,,4,C,,,,,,,481.52,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.05,2041,2070,NA,11401.05,,,4.93,C,,,,,,,569.07,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.06,2041,2070,NA,11401.06,,,5.88,C,,,,,,,614.97,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.07,2041,2070,NA,11401.07,,,4.87,C,,,,,,,504.89,mm,,
"Muhammad et al., 2020",114,Nelson River,11401,11401,114.08,2041,2070,NA,11401.08,,,5.8,C,,,,,,,518.99,mm,,
"Saha, 2015",142,Great Slave Lake,14201,14201,142.01,2020,2040,NA,14201.01,,,0.76,deltaC,,,,,,,5.5,%,,
"Saha, 2015",142,Great Slave Lake,14201,14201,142.02,2020,2040,NA,14201.02,,,0.57,deltaC,,,,,,,3.5,%,,
"Rokaya et al., 2020",141,Great Slave Lake,14101,14101,141.01,2071,2100,NA,14101.01,,,,,,,,,,,28,%,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.02,2010,2039,NA,801.02,,,,,,,,,,,,,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.03,2040,2069,NA,801.03,,,,,,,,,,,,,,
"Asnaashari et al., 2015",8,St. Lawrence,801,801,8.04,2070,2099,NA,801.04,,,,,,,,,,,,,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.01,2046,2065,NA,2401.01,,,3.2,deltaC,,,,,,,4.5,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.02,2046,2065,NA,2401.02,,,2.6,deltaC,,,,,,,22,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.03,2046,2065,NA,2401.03,,,3,deltaC,,,,,,,6.3,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.04,2046,2065,NA,2401.04,,,3.6,deltaC,,,,,,,11.4,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.05,2046,2065,NA,2401.05,,,3,deltaC,,,,,,,20.2,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.06,2046,2065,NA,2401.06,,,2.7,deltaC,,,,,,,4.2,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.07,2046,2065,NA,2401.07,,,2.3,deltaC,,,,,,,1.1,%,,
"Choi et al., 2014",24,Nelson River,2401,2401,24.08,2046,2065,NA,2401.08,,,2.1,deltaC,,,,,,,16.9,%,,
