PubID,Citation,Document Type,Data Recorded from Supplementary Information,Supplementary Information,Comments
143,"Saha, G. C., J. Li, R. W. Thring, F. Hirshfield, and S. S. Paul. 2017. ""Temporal dynamics of groundwater-surface water interaction under the effects of climate change: A case study in the Kiskatinaw River Watershed, Canada."" Journal of Hydrology 551: 440-452. doi: 10.1016/j.jhydrol.2017.06.008",Journal article,NO,,
144,"Saleem, S. R. 2018. ""Impacts of future climate and agricultural land use changes on groundwater nitrate concentrations in southern Ontario."" PhD. diss., University of Guelph.",Thesis,NO,,
148,"Scheepers, H., J. Wang, T. Y. Gan, and C. C. Kuo. 2018. ""The impact of climate change on inland waterway transport: Effects of low water levels on the Mackenzie River."" Journal of Hydrology 566: 285-298. doi: 10.1016/j.jhydrol.2018.08.059",Journal article,NO,,
149,"Schnorbus, M. A., K. E. Bennett, A. T. Werner, and A. J. Berland. 2011. Hydrologic impacts of climate change in the Peace, Campbell and Columbia watersheds, British Columbia, Canada. Victoria: Pacific Climate Impacts Consortium.",Report,NO,,
151,"Schnorbus, M., A. Werner, and K. Bennett. 2014. ""Impacts of climate change in three hydrologic regimes in British Columbia, Canada."" Hydrological Processes 28: 1170-1189. doi: 10.1002/hyp.9661",Journal article,NO,,
152,"Scibek, J., and D. M. Allen. 2006. ""Comparing modelled responses of two high-permeability, unconfined aquifers to predicted climate change."" Global and Planetary Change 50: 50-62. doi: 10.1016/j.gloplacha.2005.10.002",Journal article,NO,,
153,"Scibek, J., and D. M. Allen. 2006. ""Modeled impacts of predicted climate change on recharge and groundwater levels."" Water Resources Research 42. doi: 10.1029/2005WR004742",Journal article,NO,,
154,"Seiller, G., and F. Anctil. 2014. ""Climate change impacts on the hydrologic regime of a Canadian river: comparing uncertainties arising from climate natural variability and lumped hydrological model structures."" Hydrology and Earth System Sciences 18: 2033-2047. doi: 10.5194/hess-18-2033-2014",Journal article,NO,,
155,"Sha, Q. 2008. ""Climate change effect on water quantity in southern Ontario watersheds."" MSc. thesis, University of Guelph.",Thesis,NO,,
158,"Shrestha, N. K., X. Du., and J. Wang. 2017. ""Assessing climate change impacts on fresh water resources of the Athabasca River Basin, Canada."" Science of the Total Environment 601-602: 425-440. doi: 10.1016/j.scitotenv.2017.05.013",Journal article,YES. Hydrologic and climate variables.,,
159,"Shrestha, N. K., and J. Wang. 2018. ""Predicting sediment yield and transport dynamics of a cold climate region watershed in changing climate."" Science of the Total Environment 625: 1030-1045. doi: 10.1016/j.scitotenv.2017.12.347",Journal article,YES. Hydrologic and climate variables.,,
160,"Shrestha, R. R., A. J. Cannon, M. A. Schnorbus, and H. Alford. 2019. ""Climatic controls on future hydrologic changes in a Subarctic river basin in Canada."" Journal of Hydrometeorology 20: 1757-1778. doi: 10.1175/JHM-D-18-0262.1",Journal article,"YES. GCM names, results.",,
162,"Shrestha, R. R., Y. B. Dibike, and T. D. Prowse. 2012. ""Modelling of climate-induced hydrologic changes in the Lake Winnipeg watershed."" Journal of Great Lakes Research 38: 83-94. doi: 10.1016/j.jglr.2011.02.004",Journal article,NO,,
163,"Shrestha, R. R., M. A. Schnorbus, A. T. Werner, and A. J. Berland. 2012. ""Modelling spatial and temporal variability of hydrologic impacts of climate change in the Fraser River basin, British Columbia, Canada."" Hydrological Processes 26: 1840-1860. doi: 10.1002/hyp.9283",Journal article,NO,,
164,"Shrestha, R. R., M. A. Schnorbus, A. T. Werner, and F. W. Zwiers. 2014. ""Evaluating hydroclimatic change signals from statistically and dynamically downscaled GCMs and hydrologic models."" Journal of Hydrometeorology 15 (2): 844-860. doi: 10.1175/JHM-D-13-030.1",Journal article,NO,,
165,"Shrestha, R. R., A. J. Berland, M. A. Schnorbus, and A. T. Werner. 2011. Climate change impacts on hydro-climatic regimes in the Peace and Columbia watersheds, British Columbia, Canada. Victoria: Pacific Climate Impacts Consortium.",Report,NO,,
166,"Simonovic, S. P., and L .Li. 2004. ""Sensitivity of the Red River Basin flood protection system to climate variability and change."" Water Resources Management 18: 89-110.",Journal article,NO,,
167,"Stahl, K., R. D. Moore, J. M. Shea, D. Hutchinson, and A. J. Cannon. 2008. ""Coupled modelling of glacier and streamflow response to future climate scenarios."" Water Resources Research 44. doi: 10.1029/2007WR005956",Journal article,NO,,
169,"Sulis, M., C. Paniconi, M. Marrocu, D. Huard, and D. Chaumont. 2012. ""Hydrologic response to multimodel climate output using a physically based model of groundwater/surface water interactions."" Water Resources Research 48. doi: 10.1029/2012WR012304",Journal article,NO,,
171,"Sultana, Z. 2009. ""Distributed modeling of Spencer Creek watershed and assessment of future changes in hydrological processes."" MSc. Thesis, McMaster University.",Thesis,NO,,
172,"Sultana, Z., and P. Coulibaly. 2011. ""Distributed modelling of future changes in hydrological processes of Spencer Creek watershed."" Hydrological Processes 25: 1254-1270. doi: 10.1002/hyp.7891",Journal article,NO,,
174,"Tang, F. 2017. ""Modeling the impacts of climate change on streamflow of the Nicolet River as affected by snowmelt using ArcSWAT."" MSc. Thesis, McGill University.",Thesis,NO,,
175,"Tanzeeba, S., and T. Y. Gan. 2012. ""Potential impact of climate change on the water availability of South Saskatchewan River Basin."" Climatic Change 112: 355-386. doi: 10.1007/s10584-011-0221-7",Journal article,NO,,
177,"Thorne, R. 2011. ""Uncertainty in the impacts of projected climate change on the hydrology of a subarctic environment: Liard River Basin."" Hydrology and Earth System Sciences 15: 1483-1492. doi: 10.5194/hess-15-1483-2011",Journal article,NO,,
181,"Toth, B., A. Pietroniro, F. M. Conly, and N. Kouwen. 2006. ""Modelling climate change impacts in the Peace and Athabasca catchment and delta: I - hydrological model application."" Hydrological Processes 20: 4197-4214. doi: 10.1002/hyp.6426",Journal article,NO,,
182,"Troin, M., R. Arsenault, J.-L. Martel, and F. Brissette. 2018. ""Uncertainty of hydrological model components in climate change studies over two Nordic Quebec catchments."" Journal of Hydrometeorology 19: 27-46. doi: 10.1175/JHM-D-17-0002.1",Journal article,NO,,
184,"Troin, M., J. A. Velázquez, D. Caya, and F. Brissette. 2015. ""Comparing statistical post-processing of regional and global climate scenarios for hydrological impacts assessment: A case study of two Canadian catchments."" Journal of Hydrology 520: 268-288. doi: 10.1016/j.jhydrol.2014.11.047",Journal article,NO,,
185,"Trudel, M., P.-L. Doucet-Généreux, and R. Leconte. 2017. ""Assessing river low-flow uncertainties related to hydrological model calibration and structure under climate change conditions."" Climate 5 (1): 19. doi: 10.3390/cli5010019",Journal article,NO,,
186,"Islam, S. U., C. L. Curry, S. J. Déry, and F. W. Zwiers. 2018. ""Quantifying projected changes in runoff variability and flow regimes of the Fraser River Basin, British Columbia."" Hydrology and Earth System Sciences 23: 811-828. doi: 10.5194/hess-2018-232",Journal article,Yes. Runoff values.,,
189,"Velázquez, J. A., J. Schmid, S. Ricard, M. J. Muerth, B. Gauvin St-Denis, M. Minville, D. Chaumont, D. Caya, R. Ludwig, and R. Turcotte. 2012. ""An ensemble approach to assess hydrological models' contribution to uncertainties in the analysis of climate change impact on water resources."" Hydrology and Earth System Sciences 9: 7441-7474. doi: 10.5194/hessd-9-7441-2012",Journal article,NO,,
191,"Warner, S. 2016. ""Assessing the potential impact of climate change on the surface hydrology of Prince Edward Island."" MSc. Thesis, Dalhousie University.",Thesis,NO,,
192,"Werner, A. T., M. A. Schnorbus, R. R. Shrestha, and H. D. Eckstrand. 2013. ""Spatial and temporal change in the hydro-climatology of the Canadian portion of the Columbia River Basin under multiple emissions scenarios."" Atmosphere-Ocean 51 (4): 357-379. doi: 10.1080/07055900.2013.821400",Journal article,NO,,
193,"Whitfield, P. H., A. J. Cannon, and C. J. Reynolds. 2002. ""Modelling streamflow in present and future climates: Examples from the Georgia Basin, British Columbia."" Canadian Water Resources Journal 27 (4): 427-456. doi: 10.4296/cwrj24704427",Journal article,NO,,
196,"Wruth, S. G. 2013. ""Incorporation of non-stationary landcover into WATFLOOD climate change scenarios."" MSc. Thesis, University of Manitoba.",Thesis,NO,,
197,"Wu, H., J. S. Kimball, M. M. Elsner, N. Mantua, R. F. Adler, and J. Stanford. 2012. ""Projected climate change impacts on the hydrology and temperature of Pacific Northwest rivers."" Water Resources Research 48. doi: 10.1029/2012WR012082",Journal article,NO.,,All gauges located in US portion of study area.
198,"Yao, H., L. Scott, C. Guay, and P. Dillon. 2009. ""Hydrological impacts of climate change predicted for an inland lake catchment in Ontario by using monthly water balance analyses."" Hydrological Processes 23: 2368-2382. doi: 10.1002/hyp.7347",Journal article,NO,,
199,"Zhang, B., N. K. Shrestha, P. Daggupati, R. Rudra, R. Shukla, B. Kaur, and J. Hou. 2018. ""Quantifying the impacts of climate change on streamflow dynamics of two major rivers of the Northern Lake Erie Basin in Canada."" Sustainability 10: 2897. doi: 10.3390/su10082897",Journal article,YES. Hydrologic and climate variables.,,
200,"Zhao, Y. 2015. ""Investigation of uncertainties in assessing climate change impacts on the hydrology of a Canadian river watershed."" PhD. diss., École de Technologie Supérieure, Université du Québec.",Thesis,NO,,
210,"Erler, A. R., S. K. Frey, O. Khader, M. d-Orgeville, Y.-J. Park, H.-T. Hwang, D. R. Lapen, W. R. Peltier, and E. A. Sudicky. 2019. ""Simulating climate change impacts on surface water resources within a lake-affected region using regional climate projections."" Water Resources Research 55. doi: 10.1029/2018WR024381",Journal article,NO,,
214,"Gelfan, A., D. Gustafsson, Y. Motovilov, B. Arheimer, A. Kalugin, I. Krylenko, and A. Lavrenov. 2017. ""Climate change impact on the water regime of two great Arctic rivers: Modeling and uncertainty issues."" Climatic Change 141: 499-515. doi: 10.1007/s10584-016-1710-5",Journal article,NO,,
215,"Golder Associates Ltd. 2009. Hydro-climate model selection and application on the Athabasca and Beaver River Basins. Prepared for: Oil Sands Environmental Management Division, Alberta Environment.",Report,NO,,
219,"Leong, D. N.-S. 2014. ""A model analysis of water resource availability in response to climate change and oil sands operations in the Athabasca River Basin."" PhD. diss., University of British Columbia.",Thesis,NO,,
220,"MacDonald, R. J., J. M. Byrne, S. W. Kienzle, and R. P. Larson. 2011. ""Assessing the potential impacts of climate change on mountain snowpack in the St. Mary River Watershed, Montana."" Journal of Hydrometeorology 12 (2): 262-273. doi: 10.1175/2010JHM1294.1",Journal article,NO,,
222,"Moore, R. D., D. M. Allen, and K. Stahl. 2007. Climate change and low flows: Influences of groundwater and glaciers. Prepared for: Climate Change Action Fund, Natural Resources Canada.",Report,NO,,
301,"Loiselle, D., X. Du., D. S. Alessi, K. D. Bladon, and M. Faramarzi. 2020. ""Projecting impacts of wildfire and climate change on streamflow, sediment, and organic carbon yields in a forested watershed."" Journal of Hydrology 590. doi: 10.1016/j.jhydrol.2020.125403",Journal article,YES. GCM names.,,Adjusted CO2.
302,"Boyer, C., P. M. Verhaar, A. G. Roy, P. M. Biron, and J. Morin. 2010. ""Impacts of environmental changes on the hydrology and sedimentary processes at the confluence of St. Lawrence tributaries: Potential effects on fluvial ecosystems."" Hydrobiologia 647: 163-183. doi: 10.1007/s10750-009-9927-1",Journal article,NO,,
303,"Saha, G. C., and M. Quinn. 2020. ""Integrated surface water and groundwater analysis under the effects of climate change, hydraulic fracturing and its associated activities: A case study from Northwestern Alberta, Canada."" Hydrology 7: 70. doi: 10.3390/hydrology7040070",Journal article,NO,,
304,"Minville, M., S. Krau, F. Brissette, and R. Leconte. 2010. ""Behaviour and performance of a water resource system in Québec (Canada) under adapted operating policies in a climate change context."" Water Resources Management 24: 1333-1352. doi: 10.1007/s11269-009-9500-8",Journal article,NO,,
305,"Minville, M., F. Brissette, S. Krau, and R. Leconte. 2009. ""Adaptation to climate change in the management of a Canadian water-resources system exploited for hydropower."" Water Resources Management 23: 2965-2986. doi: 10.1007/s11269-009-9418-1",Journal article,NO,,
306,"Lucas-Picher, P., S. Lachance-Cloutier, R. Arsenault, A. Poulin, S. Ricard, R. Turcotte, and F. Brissette. 2021. ""Will evolving climate conditions increase the risk of floods of the large U.S.-Canada transboundary Richelieu River Basin?"" Journal of the American Water Resources Association 57 (1): 32-56. doi: 10.1111/1752-1688.12891",Journal article,NO,,
307,"Chernos, M., R. J. MacDonald, M. W. Nemeth, and J. R. Craig. 2020. ""Current and future projections of glacier contribution to streamflow in the upper Athabasca River Basin."" Canadian Water Resources Journal / Revue canadienne des ressources hydriques 45 (4): 324-344. doi: 10.1080/07011784.2020.1815587",Journal article,NO,,
308,"Brennan, C. P., P. Parsapour-Moghaddam, C. D. Rennie, and O. Seidou. 2018. ""Continuous prediction of clay-bed stream erosion in response to climate model output for a small urban watershed."" Hydrological Processes 32: 1104-1119. doi: 10.1002/hyp.11485",Journal article,NO,,
309,"Jalliffier-Verne, I., R. Leconte, U. Huaringa-Alvarez, A.-S. Madoux-Humery, M. Galarneau, P. Servais, M. Prévost, and S. Dorner. 2015. ""Impacts of global change on the concentrations and dilution of combined sewer overflows in a drinking water source."" Science of the Total Environment 508: 462-476. doi: 10.1016/j.scitotenv.2014.11.059",Journal article,NO,,
317,"Livingston, T., E. McBean, M. Marchildon, and B. Gharabaghi. 2020. ""Hydrologic impacts of climate change in relation to Ontario's source water protection planning program."" Canadian Journal of Civil Engineering. Advance online publication. doi: 10.1139/cjce-2019-0649",Journal article,YES. GCM names.,,
318,"Foster, S. B., and D. M. Allen. 2015. ""Groundwater-surface water interactions in a mountain-tocoast watershed: Effects of climate change and human stressors."" Advances in Meteorology. Doi: 10.1155/2015/861805",Journal article,NO,,
319,"Haguma, D., R. Leconte, P. Côté, S. Krau, and F. Brissette. 2014. ""Optimal hydropower generation under climate change conditions for a Northern water resources system."" Water Resources Management 28: 4631-4644. doi: 10.1007/s11269-014-0763-3",Journal article,NO,,
320,"Verhaar, P. M., P. M. Biron, R. I. Ferguson, and T. B. Hoey. 2011. ""Implications of climate change in the twenty-first century for simulated magnitude and frequency of bed-material transport in tributaries of the Saint-Lawrence River."" Hydrological Processes 25: 1558-1573. doi: 10.1002/hyp.7918",Journal article,NO,,
